customer_id,customer_name,city_name,state_name,transaction_lines,revenue,profit,margin_pct,recency_days,cluster,segment
1,David Padilla,Miami,Florida,2,14701.0,2605.0,17.72,627,0,High-Value Accounts
2,Connor Morgan,Chicago,Illinois,2,14701.0,2605.0,17.72,78,0,High-Value Accounts
3,Robert Stone,Buffalo,New York,2,14701.0,2605.0,17.72,1329,0,High-Value Accounts
4,John Fields,Orlando,Florida,1,1525.0,185.0,12.13,308,2,Thin-Margin Buyers
5,Clayton Smith,Miami,Florida,1,1525.0,185.0,12.13,1253,2,Thin-Margin Buyers
6,Richard Kelley,Los Angeles,California,2,9010.0,3668.0,40.71,848,1,High-Margin Buyers
7,Jacqueline Hubbard,New York City,New York,1,2516.0,734.0,29.17,489,1,High-Margin Buyers
8,Jessica Anderson,New York City,New York,1,2975.0,462.0,15.53,1818,2,Thin-Margin Buyers
9,Mary Taylor,Orlando,Florida,3,15500.0,3936.0,25.39,1776,0,High-Value Accounts
10,Walter Crawford,Springfield,Illinois,2,15101.0,1360.0,9.01,492,0,High-Value Accounts
11,Lawrence Robinson,Rochester,New York,2,7926.0,2818.0,35.55,75,1,High-Margin Buyers
12,Douglas Pennington,Dallas,Texas,1,1629.0,265.0,16.27,32,2,Thin-Margin Buyers
13,Ricardo Andrews,San Diego,California,1,1629.0,265.0,16.27,417,2,Thin-Margin Buyers
14,Paul Raymond,San Diego,California,2,11910.0,3865.0,32.45,1568,0,High-Value Accounts
15,Karen Johnson,Rochester,New York,3,22018.0,2130.0,9.67,289,0,High-Value Accounts
16,Juan Erickson,Austin,Texas,1,4206.0,1821.0,43.3,1147,1,High-Margin Buyers
17,Alexander Reed,New York City,New York,1,5219.0,1180.0,22.61,1184,2,Thin-Margin Buyers
18,Jacqueline Harris,San Francisco,California,1,5219.0,1180.0,22.61,771,2,Thin-Margin Buyers
19,Tyler Park,San Francisco,California,1,3686.0,760.0,20.62,867,2,Thin-Margin Buyers
20,Richard Wolfe,Columbus,Ohio,1,3686.0,760.0,20.62,1155,2,Thin-Margin Buyers
21,Sierra Rios,Orlando,Florida,2,15382.0,2160.0,14.04,457,0,High-Value Accounts
22,Jessica Richardson,San Diego,California,2,9062.0,2714.0,29.95,621,1,High-Margin Buyers
23,Kimberly Warren,Cincinnati,Ohio,2,9062.0,2714.0,29.95,1407,1,High-Margin Buyers
24,Casey Garcia,Orlando,Florida,2,7090.0,1593.0,22.47,890,2,Thin-Margin Buyers
25,Denise Hampton,San Francisco,California,3,18497.0,7046.0,38.09,221,0,High-Value Accounts
26,Justin Rodriguez,Cleveland,Ohio,2,11156.0,2837.0,25.43,1165,0,High-Value Accounts
27,Ms. Emily Baxter,Rochester,New York,2,11156.0,2837.0,25.43,1610,0,High-Value Accounts
28,Austin White,Los Angeles,California,2,11156.0,2837.0,25.43,572,0,High-Value Accounts
29,Morgan Montes,San Diego,California,2,12773.0,1587.0,12.42,78,0,High-Value Accounts
30,Christine Mosley,Cincinnati,Ohio,2,12773.0,1587.0,12.42,1366,0,High-Value Accounts
31,Ashley Rodriguez,Austin,Texas,2,12773.0,1587.0,12.42,658,0,High-Value Accounts
32,Elizabeth King,Dallas,Texas,2,12773.0,1587.0,12.42,1250,0,High-Value Accounts
33,Connie Holmes,Cincinnati,Ohio,1,2463.0,648.0,26.31,908,2,Thin-Margin Buyers
34,Melissa Peck,Miami,Florida,1,7811.0,1538.0,19.69,1086,2,Thin-Margin Buyers
35,David Smith,Orlando,Florida,3,19214.0,5355.0,27.87,1113,0,High-Value Accounts
36,Jacqueline Harris,Houston,Texas,3,19214.0,5355.0,27.87,1440,0,High-Value Accounts
37,Heather Jenkins,Buffalo,New York,3,8001.0,2382.0,29.77,1580,1,High-Margin Buyers
38,Kelsey Castaneda,Cleveland,Ohio,4,11754.0,1736.0,14.77,93,0,High-Value Accounts
39,Katherine Harris,Los Angeles,California,4,11754.0,1736.0,14.77,709,2,Thin-Margin Buyers
40,Paul Rogers,Miami,Florida,2,8825.0,695.0,7.88,412,2,Thin-Margin Buyers
41,Jon Banks,Tampa,Florida,1,1126.0,55.0,4.88,1154,2,Thin-Margin Buyers
42,Michelle Williams,Buffalo,New York,1,1126.0,55.0,4.88,820,2,Thin-Margin Buyers
43,Andrew Allen,San Diego,California,4,18675.0,6345.0,33.98,611,0,High-Value Accounts
44,Vanessa Bauer,Buffalo,New York,2,11389.0,4343.0,38.13,5,1,High-Margin Buyers
45,Sean Smith,Cleveland,Ohio,2,11389.0,4343.0,38.13,172,1,High-Margin Buyers
46,Shelly Sweeney,New York City,New York,2,6396.0,1897.0,29.66,1797,1,High-Margin Buyers
47,Emily Gill,Springfield,Illinois,1,1591.0,727.0,45.69,992,1,High-Margin Buyers
48,Brian Patrick,Tampa,Florida,1,1591.0,727.0,45.69,1462,1,High-Margin Buyers
49,Dr. Sarah Booth,Cincinnati,Ohio,1,1591.0,727.0,45.69,1116,1,High-Margin Buyers
50,Douglas Mcfarland,Cleveland,Ohio,1,1757.0,622.0,35.4,1082,1,High-Margin Buyers
51,Kayla Ross,Peoria,Illinois,1,1757.0,622.0,35.4,846,1,High-Margin Buyers
52,Marc Strickland,Orlando,Florida,2,12045.0,718.0,5.96,1219,2,Thin-Margin Buyers
53,Charlene Brown,Miami,Florida,1,5578.0,277.0,4.97,1306,2,Thin-Margin Buyers
54,Charles Smith,Columbus,Ohio,1,5578.0,277.0,4.97,1034,2,Thin-Margin Buyers
55,Karen Townsend,Houston,Texas,3,17606.0,5432.0,30.85,608,0,High-Value Accounts
56,Steven Cox,Los Angeles,California,1,7595.0,2873.0,37.83,1670,1,High-Margin Buyers
57,Cynthia Rodriguez,Rochester,New York,1,7595.0,2873.0,37.83,1061,1,High-Margin Buyers
58,Jessica Baker,Austin,Texas,1,1954.0,294.0,15.05,813,2,Thin-Margin Buyers
59,Mark Blackburn,Dallas,Texas,1,523.0,95.0,18.16,98,2,Thin-Margin Buyers
60,Zachary Perez,Austin,Texas,3,23737.0,4623.0,19.48,1136,0,High-Value Accounts
61,Brian Green,San Diego,California,3,23737.0,4623.0,19.48,1189,0,High-Value Accounts
62,Becky Leach,Miami,Florida,1,9109.0,586.0,6.43,1763,2,Thin-Margin Buyers
63,Bryan Russell,Dallas,Texas,2,10817.0,1351.0,12.49,831,2,Thin-Margin Buyers
64,Tony Maddox,San Francisco,California,2,10817.0,1351.0,12.49,179,2,Thin-Margin Buyers
65,Jason Randolph,San Francisco,California,1,2478.0,92.0,3.71,677,2,Thin-Margin Buyers
66,Laura Andrews,New York City,New York,1,2478.0,92.0,3.71,1473,2,Thin-Margin Buyers
67,Mrs. Stephanie Hooper,San Francisco,California,1,2478.0,92.0,3.71,1458,2,Thin-Margin Buyers
68,Anthony Evans,Cleveland,Ohio,1,2478.0,92.0,3.71,691,2,Thin-Margin Buyers
69,Patrick Williams,Rochester,New York,2,19611.0,7116.0,36.29,1253,0,High-Value Accounts
70,Susan Burke,Austin,Texas,2,19611.0,7116.0,36.29,1065,0,High-Value Accounts
71,Brent Hernandez,Rochester,New York,2,19611.0,7116.0,36.29,929,0,High-Value Accounts
72,Sean Elliott,San Francisco,California,2,18573.0,4385.0,23.61,192,0,High-Value Accounts
73,Wanda West,Cleveland,Ohio,2,18573.0,4385.0,23.61,1397,0,High-Value Accounts
74,Renee Solomon,Tampa,Florida,4,15719.0,3394.0,21.59,256,0,High-Value Accounts
75,Daryl Miles,Orlando,Florida,2,9206.0,2542.0,27.61,393,1,High-Margin Buyers
76,Michael Hunt,Dallas,Texas,3,16467.0,5601.0,34.01,1205,0,High-Value Accounts
77,Adam Clark,San Francisco,California,2,7320.0,2659.0,36.33,408,1,High-Margin Buyers
78,Amy Olsen,Springfield,Illinois,2,7320.0,2659.0,36.33,1283,1,High-Margin Buyers
79,Stacey Miller,San Diego,California,2,7320.0,2659.0,36.33,1284,1,High-Margin Buyers
80,Daniel Mosley,Los Angeles,California,4,11464.0,3389.0,29.56,249,0,High-Value Accounts
81,Monica Gibson,Springfield,Illinois,3,14382.0,3430.0,23.85,746,0,High-Value Accounts
82,Christopher Jordan,Columbus,Ohio,1,8903.0,4401.0,49.43,950,1,High-Margin Buyers
83,Christina Davis,Chicago,Illinois,4,22888.0,3448.0,15.06,829,0,High-Value Accounts
84,Claudia Curry,Austin,Texas,4,22888.0,3448.0,15.06,320,0,High-Value Accounts
85,Brandon Anderson,Austin,Texas,1,706.0,197.0,27.9,1168,1,High-Margin Buyers
86,George Foster,Dallas,Texas,3,27352.0,6848.0,25.04,1009,0,High-Value Accounts
87,Nicholas Anderson,Orlando,Florida,3,27352.0,6848.0,25.04,1215,0,High-Value Accounts
88,Emily Ellison,Los Angeles,California,3,27352.0,6848.0,25.04,941,0,High-Value Accounts
89,Darren Perez,Austin,Texas,1,770.0,241.0,31.3,1208,1,High-Margin Buyers
90,Michelle Hunter,Cincinnati,Ohio,1,770.0,241.0,31.3,742,1,High-Margin Buyers
91,Janet Guerrero,Rochester,New York,1,9895.0,1598.0,16.15,455,2,Thin-Margin Buyers
92,Jeffrey Kline,Miami,Florida,2,7683.0,1930.0,25.12,300,1,High-Margin Buyers
93,Ryan Bullock,Tampa,Florida,2,7683.0,1930.0,25.12,1766,2,Thin-Margin Buyers
94,Tom Lawson,Buffalo,New York,1,9820.0,793.0,8.08,1294,2,Thin-Margin Buyers
95,Rebecca Smith,Dallas,Texas,2,13004.0,2905.0,22.34,125,0,High-Value Accounts
96,William Welch,Orlando,Florida,2,12782.0,3881.0,30.36,1196,0,High-Value Accounts
97,Mr. Curtis Bailey,Tampa,Florida,2,7218.0,713.0,9.88,253,2,Thin-Margin Buyers
98,Janet Carlson,Miami,Florida,2,17517.0,1545.0,8.82,263,0,High-Value Accounts
99,Spencer Spears,Chicago,Illinois,2,15696.0,3115.0,19.85,288,0,High-Value Accounts
100,Jeffrey Middleton,Buffalo,New York,2,15093.0,5997.0,39.73,1607,0,High-Value Accounts
101,Veronica Kelley,Orlando,Florida,2,15093.0,5997.0,39.73,947,0,High-Value Accounts
102,Leslie Bean,Springfield,Illinois,2,15093.0,5997.0,39.73,1245,0,High-Value Accounts
103,Amy Wilson,Los Angeles,California,2,4150.0,927.0,22.34,1116,2,Thin-Margin Buyers
104,Susan Ramirez,Cleveland,Ohio,1,1860.0,457.0,24.57,542,2,Thin-Margin Buyers
105,Jacob Meyer,Peoria,Illinois,2,5153.0,2226.0,43.2,1516,1,High-Margin Buyers
106,Scott Lewis,Houston,Texas,4,22530.0,3793.0,16.84,1667,0,High-Value Accounts
107,Eric Griffith,Chicago,Illinois,4,22530.0,3793.0,16.84,698,0,High-Value Accounts
108,Anna Ferguson,San Francisco,California,4,22530.0,3793.0,16.84,447,0,High-Value Accounts
109,David Figueroa,Miami,Florida,1,3234.0,1029.0,31.82,1091,1,High-Margin Buyers
110,Theresa Medina,Springfield,Illinois,2,13998.0,2988.0,21.35,1311,0,High-Value Accounts
111,Mary Smith,Miami,Florida,1,8586.0,3826.0,44.56,1545,1,High-Margin Buyers
112,Lance Cain,Tampa,Florida,1,8586.0,3826.0,44.56,617,1,High-Margin Buyers
113,Alexandra Moran,San Francisco,California,1,5047.0,2211.0,43.81,580,1,High-Margin Buyers
114,Sara Castro,Chicago,Illinois,1,5047.0,2211.0,43.81,1500,1,High-Margin Buyers
115,Shawn Leach,Peoria,Illinois,1,5047.0,2211.0,43.81,911,1,High-Margin Buyers
116,Mark Boyle,Buffalo,New York,1,5047.0,2211.0,43.81,1044,1,High-Margin Buyers
117,John Stevens,San Francisco,California,1,3657.0,163.0,4.46,1387,2,Thin-Margin Buyers
118,Lisa Graham,Peoria,Illinois,1,6471.0,2842.0,43.92,240,1,High-Margin Buyers
119,Nancy Jones,Cleveland,Ohio,3,12136.0,1903.0,15.68,99,0,High-Value Accounts
120,Darryl Robbins,Peoria,Illinois,1,6671.0,2797.0,41.93,824,1,High-Margin Buyers
121,Kimberly Smith,Springfield,Illinois,2,17020.0,2843.0,16.7,877,0,High-Value Accounts
122,Maria Thomas,Miami,Florida,2,15280.0,7198.0,47.11,1452,0,High-Value Accounts
123,Nicholas Johnson,Dallas,Texas,2,15280.0,7198.0,47.11,68,0,High-Value Accounts
124,Dawn Howard,Houston,Texas,3,21087.0,7029.0,33.33,1470,0,High-Value Accounts
125,Jennifer Marshall,San Francisco,California,1,9965.0,3033.0,30.44,1732,1,High-Margin Buyers
126,Frank Garcia,Buffalo,New York,1,9965.0,3033.0,30.44,561,1,High-Margin Buyers
127,Terri Madden,Rochester,New York,2,10596.0,658.0,6.21,646,2,Thin-Margin Buyers
128,James Gutierrez,Rochester,New York,2,15394.0,5886.0,38.24,1451,0,High-Value Accounts
129,Morgan Sellers,Los Angeles,California,2,2462.0,1066.0,43.3,1532,1,High-Margin Buyers
130,Caitlin Thomas,New York City,New York,1,2759.0,1149.0,41.65,78,1,High-Margin Buyers
131,Kimberly Greene,Orlando,Florida,1,1341.0,615.0,45.86,946,1,High-Margin Buyers
132,Tammy Anthony,Cleveland,Ohio,2,19840.0,6599.0,33.26,1083,0,High-Value Accounts
133,Jennifer Chase,Buffalo,New York,2,19840.0,6599.0,33.26,609,0,High-Value Accounts
134,Cassandra Farley,Orlando,Florida,2,19840.0,6599.0,33.26,905,0,High-Value Accounts
135,Justin Vasquez,Houston,Texas,1,7421.0,958.0,12.91,816,2,Thin-Margin Buyers
136,Melissa Morales,Houston,Texas,1,7421.0,958.0,12.91,1154,2,Thin-Margin Buyers
137,Tyler Thompson,Dallas,Texas,1,7421.0,958.0,12.91,776,2,Thin-Margin Buyers
138,Heidi Davis,Buffalo,New York,2,5620.0,1385.0,24.64,1155,2,Thin-Margin Buyers
139,Charles Lane,Dallas,Texas,1,6962.0,3429.0,49.25,356,1,High-Margin Buyers
140,Joyce Good Md,Miami,Florida,1,6962.0,3429.0,49.25,24,1,High-Margin Buyers
141,Maria Miller,Buffalo,New York,1,1085.0,301.0,27.74,245,1,High-Margin Buyers
142,Terry Mcdaniel,Cincinnati,Ohio,1,738.0,342.0,46.34,687,1,High-Margin Buyers
143,Lisa Jacobs,Buffalo,New York,1,738.0,342.0,46.34,1561,1,High-Margin Buyers
144,Jeff Duncan,Cincinnati,Ohio,1,738.0,342.0,46.34,305,1,High-Margin Buyers
145,Pamela Jones,New York City,New York,1,738.0,342.0,46.34,1152,1,High-Margin Buyers
146,Renee Robinson,Columbus,Ohio,2,2884.0,397.0,13.77,544,2,Thin-Margin Buyers
147,Jessica Kidd,Buffalo,New York,3,14293.0,3043.0,21.29,1403,0,High-Value Accounts
148,Nicholas Martin,Tampa,Florida,3,14293.0,3043.0,21.29,545,0,High-Value Accounts
149,David Brown,Peoria,Illinois,1,5934.0,1563.0,26.34,190,1,High-Margin Buyers
150,Amber Moore,New York City,New York,2,9974.0,3024.0,30.32,1001,1,High-Margin Buyers
151,James Williams,San Francisco,California,1,2465.0,699.0,28.36,1758,2,Thin-Margin Buyers
152,Karina Barr,Dallas,Texas,2,8936.0,2852.0,31.92,149,1,High-Margin Buyers
153,Meghan Rush,Cleveland,Ohio,1,4957.0,1152.0,23.24,1089,2,Thin-Margin Buyers
154,Bianca Brown,Columbus,Ohio,2,13180.0,3387.0,25.7,363,0,High-Value Accounts
155,Timothy Jensen,Orlando,Florida,2,11761.0,2026.0,17.23,1808,2,Thin-Margin Buyers
156,Melinda Montoya,San Francisco,California,2,13956.0,4527.0,32.44,367,0,High-Value Accounts
157,Tammy Bell,Cincinnati,Ohio,3,23895.0,6388.0,26.73,725,0,High-Value Accounts
158,Connie Richards,Cleveland,Ohio,2,12204.0,2588.0,21.21,378,0,High-Value Accounts
159,Peter Ward,Rochester,New York,2,12204.0,2588.0,21.21,1415,0,High-Value Accounts
160,Jonathan Alvarez,Columbus,Ohio,2,8111.0,1605.0,19.79,1277,2,Thin-Margin Buyers
161,Becky Hodges,Houston,Texas,2,8111.0,1605.0,19.79,777,2,Thin-Margin Buyers
162,Larry Hill,New York City,New York,2,2355.0,487.0,20.68,1346,2,Thin-Margin Buyers
163,Amber Moon,Cleveland,Ohio,2,2355.0,487.0,20.68,1802,2,Thin-Margin Buyers
164,Cynthia Wilcox,Chicago,Illinois,2,8141.0,2061.0,25.32,935,2,Thin-Margin Buyers
165,Rebecca Wright,Rochester,New York,2,2501.0,1090.0,43.58,819,1,High-Margin Buyers
166,Sarah Flores,Springfield,Illinois,2,2501.0,1090.0,43.58,1011,1,High-Margin Buyers
167,Carol Norman,Rochester,New York,1,1033.0,254.0,24.59,1660,2,Thin-Margin Buyers
168,Stephanie Gardner,San Diego,California,1,1518.0,159.0,10.47,1631,2,Thin-Margin Buyers
169,Philip Baker,Peoria,Illinois,1,8581.0,2444.0,28.48,1553,2,Thin-Margin Buyers
170,Randall Dennis,Orlando,Florida,1,8581.0,2444.0,28.48,1577,2,Thin-Margin Buyers
171,Suzanne Cross,Austin,Texas,3,9688.0,3425.0,35.35,549,1,High-Margin Buyers
172,Jasmine Delgado,Chicago,Illinois,2,11054.0,3286.0,29.73,1810,0,High-Value Accounts
173,Kristen Harper,Buffalo,New York,2,11054.0,3286.0,29.73,1607,0,High-Value Accounts
174,Kaitlyn Graham Md,New York City,New York,1,907.0,391.0,43.11,589,1,High-Margin Buyers
175,Dean Avila,Cincinnati,Ohio,3,12646.0,2845.0,22.5,1069,0,High-Value Accounts
176,Megan Mack,Austin,Texas,2,3685.0,593.0,16.09,1170,2,Thin-Margin Buyers
177,Heather Johnson,Los Angeles,California,1,2119.0,196.0,9.25,1672,2,Thin-Margin Buyers
178,Tina Davies,Chicago,Illinois,1,3137.0,571.0,18.2,41,2,Thin-Margin Buyers
179,Matthew Harris,Dallas,Texas,2,3691.0,1133.0,30.7,1115,1,High-Margin Buyers
180,Christopher Kirk,Miami,Florida,2,19098.0,6987.0,36.58,384,0,High-Value Accounts
181,Eric Stevens,Miami,Florida,2,19098.0,6987.0,36.58,1369,0,High-Value Accounts
182,James Dickerson,Houston,Texas,1,5322.0,1423.0,26.74,828,1,High-Margin Buyers
183,James Jones,Dallas,Texas,1,5322.0,1423.0,26.74,462,1,High-Margin Buyers
184,Hannah Hendricks,Cleveland,Ohio,1,2666.0,559.0,20.97,973,2,Thin-Margin Buyers
185,Brett Mullins,Orlando,Florida,1,8383.0,937.0,11.18,314,2,Thin-Margin Buyers
186,Ms. Kim Jordan,Chicago,Illinois,1,7560.0,821.0,10.86,1258,2,Thin-Margin Buyers
187,Marcus Santiago,Buffalo,New York,3,6854.0,727.0,10.61,1211,2,Thin-Margin Buyers
188,Jill Perez,San Diego,California,3,13724.0,1537.0,11.2,1642,0,High-Value Accounts
189,Courtney Williams,Columbus,Ohio,1,1231.0,214.0,17.38,788,2,Thin-Margin Buyers
190,Jordan Hahn,Rochester,New York,1,1231.0,214.0,17.38,1733,2,Thin-Margin Buyers
191,William Cook,Cleveland,Ohio,1,6891.0,2529.0,36.7,318,1,High-Margin Buyers
192,Stephanie Hayes,Austin,Texas,2,14388.0,4132.0,28.72,464,0,High-Value Accounts
193,Melissa Wise,Columbus,Ohio,1,4215.0,432.0,10.25,407,2,Thin-Margin Buyers
194,Elizabeth Gonzalez,San Diego,California,3,10397.0,4611.0,44.35,265,1,High-Margin Buyers
195,Mr. Eric Lopez,Buffalo,New York,1,7333.0,1576.0,21.49,281,2,Thin-Margin Buyers
196,Benjamin Higgins,Rochester,New York,2,8602.0,1380.0,16.04,519,2,Thin-Margin Buyers
197,Brett Sutton,Austin,Texas,4,21254.0,5595.0,26.32,889,0,High-Value Accounts
198,Anna Blackburn,Cincinnati,Ohio,4,21254.0,5595.0,26.32,505,0,High-Value Accounts
199,Michelle Bailey,Dallas,Texas,4,21254.0,5595.0,26.32,1495,0,High-Value Accounts
200,Sara Peterson,Chicago,Illinois,1,8769.0,1989.0,22.68,1593,2,Thin-Margin Buyers
201,Katherine Williams,Orlando,Florida,3,25121.0,5972.0,23.77,1020,0,High-Value Accounts
202,Cory Evans,Orlando,Florida,4,28557.0,7790.0,27.28,272,0,High-Value Accounts
203,Michael Rodriguez,Cincinnati,Ohio,2,5100.0,434.0,8.51,974,2,Thin-Margin Buyers
204,John Munoz,Dallas,Texas,1,9905.0,633.0,6.39,1336,2,Thin-Margin Buyers
205,David Clark,Tampa,Florida,1,9905.0,633.0,6.39,1260,2,Thin-Margin Buyers
206,April Welch,Springfield,Illinois,2,12342.0,2184.0,17.7,333,0,High-Value Accounts
207,Alan Livingston,Peoria,Illinois,1,3423.0,804.0,23.49,1710,2,Thin-Margin Buyers
208,Angela Jackson,Dallas,Texas,1,3423.0,804.0,23.49,1694,2,Thin-Margin Buyers
209,Amy Williams,Austin,Texas,1,3423.0,804.0,23.49,416,2,Thin-Margin Buyers
210,Laura Jordan,Dallas,Texas,1,3423.0,804.0,23.49,1776,2,Thin-Margin Buyers
211,Richard Maynard,Cincinnati,Ohio,1,3423.0,804.0,23.49,1218,2,Thin-Margin Buyers
212,Lawrence Oliver,Springfield,Illinois,1,3900.0,115.0,2.95,525,2,Thin-Margin Buyers
213,Anthony Williams,Rochester,New York,2,11851.0,2490.0,21.01,1239,0,High-Value Accounts
214,Lynn Matthews,Dallas,Texas,1,7643.0,3720.0,48.67,971,1,High-Margin Buyers
215,Andrew Griffin,Chicago,Illinois,3,13028.0,4432.0,34.02,204,0,High-Value Accounts
216,Megan Williams,Chicago,Illinois,1,6016.0,431.0,7.16,1599,2,Thin-Margin Buyers
217,Alison Martin,Buffalo,New York,1,1290.0,204.0,15.81,273,2,Thin-Margin Buyers
