sale_id,order_ref,order_date,year_number,quarter_number,month_number,month_name,year_month,is_complete_month,is_complete_year,customer_name,city_name,state_name,category_name,sub_category_name,payment_mode_name,quantity,amount,profit
1,B-25665,2020-03-22,2020,1,3,March,2020-03,0,1,Isabella Roach,Peoria,Illinois,Electronics,Electronic Games,Debit Card,18,8962.0,2444.0
2,B-25102,2020-03-23,2020,1,3,March,2020-03,0,1,Jessica Anderson,New York City,New York,Office Supplies,Pens,Credit Card,14,2975.0,462.0
3,B-26523,2020-03-31,2020,1,3,March,2020-03,0,1,Jasmine Delgado,Chicago,Illinois,Office Supplies,Pens,UPI,6,8204.0,2382.0
4,B-26523,2020-03-31,2020,1,3,March,2020-03,0,1,Jasmine Delgado,Chicago,Illinois,Electronics,Phones,EMI,6,2850.0,904.0
5,B-26622,2020-04-02,2020,2,4,April,2020-04,1,1,Timothy Jensen,Orlando,Florida,Electronics,Phones,UPI,9,9536.0,1437.0
6,B-26622,2020-04-02,2020,2,4,April,2020-04,1,1,Timothy Jensen,Orlando,Florida,Furniture,Sofas,Credit Card,7,2225.0,589.0
7,B-25427,2020-04-04,2020,2,4,April,2020-04,1,1,Richard Blair,Miami,Florida,Furniture,Chairs,COD,2,5035.0,2008.0
8,B-25427,2020-04-04,2020,2,4,April,2020-04,1,1,Richard Blair,Miami,Florida,Electronics,Printers,UPI,19,7702.0,60.0
9,B-25427,2020-04-04,2020,2,4,April,2020-04,1,1,Richard Blair,Miami,Florida,Electronics,Printers,EMI,7,9884.0,4446.0
10,B-26628,2020-04-05,2020,2,4,April,2020-04,1,1,Sara Bailey,Cincinnati,Ohio,Furniture,Sofas,Debit Card,3,9609.0,4339.0
11,B-25227,2020-04-08,2020,2,4,April,2020-04,1,1,Donald Perry,Orlando,Florida,Furniture,Sofas,UPI,1,4115.0,1285.0
12,B-25227,2020-04-08,2020,2,4,April,2020-04,1,1,Donald Perry,Orlando,Florida,Furniture,Tables,UPI,12,4761.0,2231.0
13,B-26837,2020-04-08,2020,2,4,April,2020-04,1,1,Amber Moon,Cleveland,Ohio,Office Supplies,Paper,Credit Card,14,869.0,373.0
14,B-26837,2020-04-08,2020,2,4,April,2020-04,1,1,Amber Moon,Cleveland,Ohio,Furniture,Bookcases,UPI,7,1486.0,114.0
15,B-25872,2020-04-13,2020,2,4,April,2020-04,1,1,Shelly Sweeney,New York City,New York,Office Supplies,Markers,UPI,4,3808.0,1192.0
16,B-25872,2020-04-13,2020,2,4,April,2020-04,1,1,Shelly Sweeney,New York City,New York,Office Supplies,Pens,Credit Card,16,2588.0,705.0
17,B-26573,2020-04-16,2020,2,4,April,2020-04,1,1,Felicia Morton,Columbus,Ohio,Furniture,Sofas,Debit Card,8,6783.0,3306.0
